name,T,result,speedup,efficiency
omp,1,16777215.500000,1.000000,1.000000
omp,2,16777215.500000,0.612426,0.306213
omp,3,16777215.500000,0.564033,0.188011
omp,4,16777215.500000,0.540470,0.135117
omp,5,16777215.500000,0.449024,0.089805
omp,6,16777215.500000,0.694631,0.115772
omp,7,16777215.500000,0.761029,0.108718
omp,8,16777215.500000,0.453947,0.056743
rr,1,16777215.500000,1.000000,1.000000
rr,2,9535287.785456,0.659026,0.329513
rr,3,6705355.072338,0.547619,0.182540
rr,4,4979459.841269,0.565111,0.141278
rr,5,4145430.952940,0.555556,0.111111
rr,6,3786314.010399,0.555556,0.092593
rr,7,3157804.815430,0.563725,0.080532
rr,8,2777761.542686,0.592784,0.074098
reduce,1,16777215.500000,1.000000,1.000000
reduce,2,16777215.500000,2.250000,1.125000
reduce,3,16777215.500000,2.842105,0.947368
reduce,4,16777215.500000,2.842105,0.710526
reduce,5,16777215.500000,2.700000,0.540000
reduce,6,16777215.500000,2.571429,0.428571
reduce,7,16777215.500000,2.000000,0.285714
reduce,8,16777215.500000,2.076923,0.259615
omp_aligned,1,16777215.500000,1.000000,1.000000
omp_aligned,2,16777215.500000,1.954023,0.977011
omp_aligned,3,16777215.500000,2.537313,0.845771
omp_aligned,4,16777215.500000,3.617021,0.904255
omp_aligned,5,16777215.500000,3.953488,0.790698
omp_aligned,6,16777215.500000,1.910112,0.318352
omp_aligned,7,16777215.500000,1.650485,0.235784
omp_aligned,8,16777215.500000,1.452991,0.181624
cpp_aligned,1,16777215.500000,1.000000,1.000000
cpp_aligned,2,16777215.500000,1.956044,0.978022
cpp_aligned,3,16777215.500000,3.068966,1.022989
cpp_aligned,4,16777215.500000,4.045455,1.011364
cpp_aligned,5,16777215.500000,2.696970,0.539394
cpp_aligned,6,16777215.500000,2.825397,0.470899
cpp_aligned,7,16777215.500000,2.542857,0.363265
cpp_aligned,8,16777215.500000,2.282051,0.285256
omp_mtx,1,16777215.500000,1.000000,1.000000
omp_mtx,2,16777215.500000,1.766667,0.883333
omp_mtx,3,16777215.500000,1.827586,0.609195
omp_mtx,4,16777215.500000,1.606061,0.401515
omp_mtx,5,16777215.500000,1.432432,0.286486
omp_mtx,6,16777215.500000,0.716216,0.119369
omp_mtx,7,16777215.500000,0.716216,0.102317
omp_mtx,8,16777215.500000,0.509615,0.063702
cpp_mtx,1,16777215.500000,1.000000,1.000000
cpp_mtx,2,16777215.500000,1.852941,0.926471
cpp_mtx,3,16777215.500000,2.250000,0.750000
cpp_mtx,4,16777215.500000,1.575000,0.393750
cpp_mtx,5,16777215.500000,1.431818,0.286364
cpp_mtx,6,16777215.500000,0.562500,0.093750
cpp_mtx,7,16777215.500000,0.797468,0.113924
cpp_mtx,8,16777215.500000,0.437500,0.054688
cpp_mtx_local,1,16777215.500000,1.000000,1.000000
cpp_mtx_local,2,16777215.500000,1.703704,0.851852
cpp_mtx_local,3,16777215.500000,1.840000,0.613333
cpp_mtx_local,4,16777215.500000,1.840000,0.460000
cpp_mtx_local,5,16777215.500000,1.916667,0.383333
cpp_mtx_local,6,16777215.500000,1.586207,0.264368
cpp_mtx_local,7,16777215.500000,1.840000,0.262857
cpp_mtx_local,8,16777215.500000,1.586207,0.198276
cpp_reduction,1,16777215.500000,1.000000,1.000000
cpp_reduction,2,16777215.500000,1.714286,0.857143
cpp_reduction,3,16777215.500000,1.777778,0.592593
cpp_reduction,4,16777215.500000,2.000000,0.500000
cpp_reduction,5,16777215.500000,2.285714,0.457143
cpp_reduction,6,16777215.500000,2.086957,0.347826
cpp_reduction,7,16777215.500000,2.000000,0.285714
cpp_reduction,8,16777215.500000,1.655172,0.206897
